nombre,tipo,ancho,alto,color_promedio,tamano_kb
1.jpg,imagen,235,276,"(np.float64(207.45020043169905), np.float64(207.45020043169905), np.float64(207.45020043169905))",5.3056640625
10.jpg,imagen,325,270,"(np.float64(224.5271794871795), np.float64(150.41419943019943), np.float64(150.2937094017094))",11.4521484375
11.jpg,imagen,234,270,"(np.float64(216.92628996517885), np.float64(216.92628996517885), np.float64(216.92628996517885))",3.189453125
12.jpg,imagen,460,270,"(np.float64(230.10693236714977), np.float64(163.98376811594204), np.float64(164.03661835748792))",9.2705078125
13.jpg,imagen,258,270,"(np.float64(144.7172839506173), np.float64(188.50901521676715), np.float64(195.12513637668675))",6.5576171875
14.jpg,imagen,361,279,"(np.float64(233.44032406993716), np.float64(186.0385130908766), np.float64(186.331486611265))",7.5791015625
15.jpg,imagen,441,274,"(np.float64(209.94692718936724), np.float64(174.78432394855753), np.float64(174.36595660161876))",12.802734375
16.jpg,imagen,225,270,"(np.float64(95.55896296296297), np.float64(95.50554732510288), np.float64(248.80021399176954))",6.294921875
17.jpg,imagen,307,271,"(np.float64(58.80666370181617), np.float64(59.010012380254096), np.float64(249.62811159056216))",5.833984375
18.jpg,imagen,348,270,"(np.float64(232.3799914857386), np.float64(179.50251170710942), np.float64(179.82918263090676))",8.228515625
19.jpg,imagen,300,270,"(np.float64(240.24772839506173), np.float64(227.00004938271604), np.float64(178.73012345679012))",9.90234375
2.jpg,imagen,318,270,"(np.float64(235.25052410901466), np.float64(189.45166550197996), np.float64(184.419333799208))",5.4697265625
20.jpg,imagen,429,237,"(np.float64(223.25600700284244), np.float64(45.581668682934506), np.float64(38.55437530121075))",9.2021484375
3.jpg,imagen,295,304,"(np.float64(232.95447145405888), np.float64(222.14741302408564), np.float64(192.34008697591437))",6.9677734375
4.jpg,imagen,223,295,"(np.float64(223.4257809531048), np.float64(204.82530972106105), np.float64(173.752420764612))",7.9140625
5.jpg,imagen,294,294,"(np.float64(240.4001804803554), np.float64(225.6596325605072), np.float64(212.10915590726086))",6.638671875
6.jpg,imagen,252,270,"(np.float64(224.50728982951205), np.float64(210.96021457965904), np.float64(177.5110229276896))",13.15625
7.jpg,imagen,327,270,"(np.float64(224.55578208177596), np.float64(238.3123796579454), np.float64(241.1791142824782))",6.330078125
8.jpg,imagen,262,270,"(np.float64(231.81429177268873), np.float64(218.3127509188578), np.float64(186.2881679389313))",6.9931640625
9.jpg,imagen,258,270,"(np.float64(234.87594028136664), np.float64(223.73581682457652), np.float64(188.8071633649153))",6.259765625
