archivo,ancho,alto,tamano_kb,color_r,color_g,color_b
imagenes\moto1.jpg,1200,740,71.12,157.2,168.1,163.4
imagenes\moto2.jpg,800,450,181.4,206.3,201.5,204.0
imagenes\moto3.png,774,529,249.81,197.9,197.9,197.7
imagenes\perro1.jpg,612,558,29.11,240.7,228.0,214.2
imagenes\perro10.jpg,1200,900,130.92,151.4,138.7,102.6
imagenes\perro11.jpg,400,225,11.14,84.5,75.5,67.6
imagenes\perro12.jpg,1024,576,106.55,134.6,118.8,95.8
imagenes\perro13.jpg,1000,1412,131.56,178.2,154.6,137.0
imagenes\perro14.jpg,195,258,6.62,165.7,162.6,143.1
imagenes\perro15.jpg,1200,675,62.13,142.4,82.1,61.0
imagenes\perro16.jpg,870,470,35.13,149.9,132.3,118.0
imagenes\perro17.jpg,275,183,6.31,179.9,173.0,164.2
imagenes\perro18.jpg,600,600,46.35,126.7,123.5,89.5
imagenes\perro2.jpg,400,600,52.75,158.6,171.7,97.2
imagenes\perro3.jpg,1200,800,437.55,209.6,202.8,201.7
imagenes\perro4.jpg,231,218,4.45,225.2,212.7,205.0
imagenes\perro5.jpg,984,655,154.86,87.3,78.8,39.7
imagenes\perro6.jpg,2560,1707,745.4,94.7,92.8,72.8
imagenes\perro7.jpg,1000,667,47.29,132.2,131.1,93.2
imagenes\perro8.jpg,1920,1281,172.18,108.8,89.5,74.9
imagenes\perro9.jpg,1200,803,255.94,92.1,104.9,71.0
