tipo,nombre,duracion_seg,frecuencia_muestreo,tamaño_kb,resolucion,ancho,alto,color_promedio
audio,(LETRA) ¨COQUETA¨ - Carin León (Lyric Video)(MP3_70K)_1.mp3,203.46,48000.0,2509.37,,,,
audio,002 APESAR DEL TIEMPO -mike taveras.mp3,295.65,44100.0,4623.34,,,,
audio,003 COMO DECIRTE ADIOS -yaguaru.mp3,203.05,44100.0,3176.47,,,,
audio,004 INCOMPLETO AMOR -discos el mack.mp3,420.39,44100.0,6572.38,,,,
audio,005 AMOR AMOR -agua nueva.mp3,230.35,44100.0,3602.91,,,,
audio,006 GRACIAS AMOR -orq montecaña.mp3,283.56,44100.0,4436.99,,,,
audio,007 LLUEVE EN MI -yaguaru.mp3,206.08,44100.0,3224.12,,,,
audio,008 REFLEXIONES -charly cruz.mp3,309.05,44100.0,4833.24,,,,
audio,009 LA CUMBIA DE ANA GABRIEL -rosy.mp3,265.93,44100.0,4158.8,,,,
audio,010 MI CUERPO -dan den.mp3,276.38,44100.0,4375.59,,,,
audio,011 CUMBIA DE LA ALBERCA -son master.mp3,170.45,44100.0,2666.97,,,,
audio,07. Selena - Baila Esta Cumbia(MP3_70K)_1.mp3,177.47,48000.0,2160.04,,,,
audio,10  ME GUSTA ESTAR CONTIGO - CARIN LEON(MP3_70K).mp3,164.51,48000.0,2058.74,,,,
audio,10 PM(MP3_70K).mp3,213.18,48000.0,2579.96,,,,
audio,2 Veces - Los Plebes del Rancho ft. Christian Nodal (Letra_Lyrics)(MP3_70K).mp3,227.1,48000.0,2767.17,,,,
audio,4 Non Blondes - What_s Up (Official Music Video)(MP3_70K).mp3,292.5,48000.0,3563.04,,,,
audio,6. Amigo Mio - Ana Gabriel(MP3_70K).mp3,222.76,48000.0,2658.97,,,,
imagen,P1080223.JPG,,,153.79,720x1280,720.0,1280.0,"(np.int64(68), np.int64(67), np.int64(64))"
imagen,P1080224.JPG,,,2250.11,1920x2560,1920.0,2560.0,"(np.int64(85), np.int64(83), np.int64(102))"
imagen,P1080225.JPG,,,2249.18,1920x2560,1920.0,2560.0,"(np.int64(75), np.int64(62), np.int64(60))"
imagen,P1080226.JPG,,,2245.95,1920x2560,1920.0,2560.0,"(np.int64(71), np.int64(69), np.int64(71))"
imagen,P1080227.JPG,,,2170.08,1920x2560,1920.0,2560.0,"(np.int64(106), np.int64(102), np.int64(103))"
imagen,P1080228.JPG,,,2181.8,2560x1920,2560.0,1920.0,"(np.int64(70), np.int64(57), np.int64(40))"
imagen,P1080229.JPG,,,2068.69,2560x1920,2560.0,1920.0,"(np.int64(18), np.int64(52), np.int64(68))"
imagen,P1080230.JPG,,,2089.99,2560x1920,2560.0,1920.0,"(np.int64(162), np.int64(106), np.int64(63))"
imagen,P1080231.JPG,,,1992.66,2560x1920,2560.0,1920.0,"(np.int64(112), np.int64(105), np.int64(101))"
imagen,P1080235.JPG,,,1816.69,2560x1920,2560.0,1920.0,"(np.int64(101), np.int64(95), np.int64(89))"
imagen,P1080236.JPG,,,1978.46,2560x1920,2560.0,1920.0,"(np.int64(78), np.int64(54), np.int64(77))"
imagen,P1080237.JPG,,,2185.54,2560x1920,2560.0,1920.0,"(np.int64(37), np.int64(41), np.int64(130))"
imagen,P1080238.JPG,,,2168.07,1920x2560,1920.0,2560.0,"(np.int64(29), np.int64(29), np.int64(97))"
imagen,P1080239.JPG,,,2166.4,2560x1920,2560.0,1920.0,"(np.int64(31), np.int64(31), np.int64(47))"
imagen,P1080240.JPG,,,2090.38,2560x1920,2560.0,1920.0,"(np.int64(27), np.int64(28), np.int64(26))"
imagen,P1080241.JPG,,,2053.29,2560x1920,2560.0,1920.0,"(np.int64(36), np.int64(34), np.int64(41))"
imagen,P1080244.JPG,,,1899.56,2560x1920,2560.0,1920.0,"(np.int64(16), np.int64(30), np.int64(48))"
imagen,P1080246.JPG,,,1968.46,2560x1920,2560.0,1920.0,"(np.int64(176), np.int64(106), np.int64(62))"
imagen,P1080247.JPG,,,2131.13,2560x1920,2560.0,1920.0,"(np.int64(49), np.int64(28), np.int64(23))"
imagen,P1080249.JPG,,,2130.0,2560x1920,2560.0,1920.0,"(np.int64(80), np.int64(78), np.int64(78))"
audio,[Boney M] Rivers of Babylon (1978)(MP3_70K).mp3,259.74,48000.0,3158.27,,,,
audio,[LETRA]  Tu - Los Elegantes de Jerez 2019(MP3_70K).mp3,192.44,48000.0,2362.78,,,,
audio,♬ Cuando Te Amé - Julion Alvarez (Letra_Lyric)(MP3_70K).mp3,208.72,48000.0,2620.44,,,,
